question,category,expected_keywords
Why does the product break so easily?,Durability,"break,crack,fragile,durable"
Is the item durable enough for daily use?,Durability,"wear,tear,daily use,fall apart"
Is the product smaller than described?,Size discrepancy,"size,smaller,less,shorter"
Does the packaging contain less than advertised?,Size discrepancy,"quantity,ounces,ml,weight,underfilled"
Does this product leak during use?,Leakage,"leak,spill,seal,liquid,overflow"
Is the container sealed properly?,Leakage,"cap,cover,loose,spill,leak"
Does the product have a bad taste?,Taste/Smell,"taste,bad,awful,chemical,artificial"
Is there an unpleasant chemical smell?,Taste/Smell,"smell,odor,stink,foul,chemical"
Why was my order delivered late?,Delivery & Logistics,"late,delivery,shipping,not on time,week"
Was the item damaged during shipping?,Delivery & Logistics,"damaged,box,broken,crushed,shipping"
Is the packaging flimsy or poorly designed?,Packaging,"packaging,box,flimsy,weak,broken"
Did the product arrive in a damaged box?,Packaging,"box,crushed,torn,open,shipping"
Is customer service responsive to complaints?,Customer Service,"support,service,refund,unresponsive,help"
Can I get a refund easily?,Customer Service,"refund,return,policy,money back,denied"
Does the product look different from the photos?,Misleading Description,"photo,picture,looks like,appearance,different"
Are the features as described?,Misleading Description,"feature,specification,as advertised,missing,false"
Was the item expired when received?,Expiration,"expired,shelf life,old,smell,bad"
Is the shelf life shorter than expected?,Expiration,"shelf life,weeks,months,spoil,rotten"
Does the product actually work as promised?,Effectiveness,"work,useless,ineffective,does not work,functional"
Is it effective for its intended use?,Effectiveness,"effective,use,perform,purpose,result"
